OrderNr;Status;Employee;startmoment;Channel;RandomWaarde1;RandomWaarde2;eindmoment
Case535;Pick-up prepared;Resource 11;16-12-2011 10:01;Internet;35;64;16-12-2011 10:01
Case536;Pick-up prepared;Resource 11;16-12-2011 10:01;Internet;100;180;16-12-2011 10:01
Case1266;Pick-up prepared;Resource 11;16-12-2011 10:02;Dealer;80;151;16-12-2011 10:02
Case1267;Pick-up prepared;Resource 11;16-12-2011 10:02;Internet;149;210;16-12-2011 10:02
Case554;Pick-up prepared;Resource 11;16-12-2011 10:02;Internet;262;414;16-12-2011 10:02
Case556;Pick-up prepared;Resource 11;16-12-2011 10:02;Internet;191;199;16-12-2011 10:02
Case1254;Pick-up prepared;Resource 11;16-12-2011 10:03;Callcenter;168;266;16-12-2011 10:03
Case1255;Pick-up prepared;Resource 11;16-12-2011 10:03;Internet;275;415;16-12-2011 10:03
Case251;Pick-up prepared;Resource 11;16-12-2011 10:03;Callcenter;62;117;16-12-2011 10:03
Case796;Request signed L1;Resource 2;16-12-2011 10:03;Dealer;327;468;16-12-2011 10:03
Case1100;Request signed L1;Resource 2;16-12-2011 10:04;Dealer;69;86;16-12-2011 10:04
Case1221;Pick-up prepared;Resource 11;16-12-2011 10:04;Callcenter;260;502;16-12-2011 10:30
Case93;Missing documents requested;Resource 11;16-12-2011 10:42;Dealer;152;169;16-12-2011 10:44
Case178;Payment issued;Resource 11;16-12-2011 10:47;Callcenter;14;28;16-12-2011 10:47
Case875;Create refund;Resource 11;16-12-2011 10:47;Internet;319;381;16-12-2011 10:47
Case808;Payment issued;Resource 11;16-12-2011 10:48;Callcenter;278;301;16-12-2011 10:48
Case1052;Invoice requested;Resource 11;16-12-2011 10:51;Dealer;225;321;16-12-2011 10:51
Case1055;Invoice requested;Resource 11;16-12-2011 10:55;Dealer;39;44;16-12-2011 10:55
Case14;Create refund;Resource 11;16-12-2011 10:56;Internet;106;184;16-12-2011 10:56
Case783;Create refund;Resource 11;16-12-2011 10:56;Internet;138;262;16-12-2011 10:56
Case1257;Payment issued;Resource 11;16-12-2011 10:57;Callcenter;181;299;16-12-2011 10:57
Case45;Create refund;Resource 11;16-12-2011 10:57;Internet;110;160;16-12-2011 11:01
Case280;Product received;Resource 4;16-12-2011 11:14;Dealer;173;196;16-12-2011 11:14
Case280;Reparishop X - Checking;Resource 4;16-12-2011 11:14;Dealer;330;660;16-12-2011 11:16
Case412;Product received;Resource 4;16-12-2011 11:19;Dealer;230;269;16-12-2011 11:19
Case412;Reparishop X - Checking;Resource 4;16-12-2011 11:20;Dealer;332;535;16-12-2011 11:26
Case988;Refund issued;Resource 14;16-12-2011 11:27;Internet;250;273;16-12-2011 11:27
Case1249;Request rejected L1;Resource 2;16-12-2011 11:28;Dealer;65;87;16-12-2011 11:28
Case1249;Order completed;Resource 2;16-12-2011 11:29;Dealer;299;465;16-12-2011 11:30
Case1142;Refund issued;Resource 14;16-12-2011 11:32;Internet;99;116;16-12-2011 11:32
Case694;Refund issued;Resource 14;16-12-2011 11:33;Internet;22;23;16-12-2011 11:33
Case1158;Refund issued;Resource 14;16-12-2011 11:34;Internet;282;448;16-12-2011 11:34
Case676;Refund issued;Resource 14;16-12-2011 11:36;Internet;255;287;16-12-2011 11:36
Case692;Refund issued;Resource 14;16-12-2011 11:36;Internet;309;511;16-12-2011 11:36
Case177;Refund issued;Resource 14;16-12-2011 11:38;Internet;237;471;16-12-2011 11:38
Case1308;Request signed L1;Resource 2;16-12-2011 11:39;Dealer;124;162;16-12-2011 11:39
Case249;Refund issued;Resource 14;16-12-2011 11:39;Internet;214;311;16-12-2011 11:45
Case612;Order created;Resource 1;16-12-2011 11:47;Dealer;148;155;16-12-2011 11:50
Case1251;Missing documents requested;Resource 2;16-12-2011 11:51;Dealer;320;628;16-12-2011 11:52
Case612;Missing documents requested;Resource 3;16-12-2011 11:54;Dealer;205;395;16-12-2011 11:57
Case1004;Product received;Resource 17;16-12-2011 12:01;Internet;72;74;16-12-2011 12:01
Case1279;Shipment via logistics partner;Resource 2;16-12-2011 12:01;Dealer;186;354;16-12-2011 12:01
Case611;Order created;Resource 1;16-12-2011 12:02;Dealer;38;74;16-12-2011 12:04
Case611;Missing documents requested;Resource 3;16-12-2011 12:05;Dealer;146;278;16-12-2011 12:06
Case610;Order created;Resource 1;16-12-2011 12:11;Dealer;234;428;16-12-2011 12:17
Case608;Order created;Resource 1;16-12-2011 12:25;Dealer;308;444;16-12-2011 12:25
Case609;Order created;Resource 1;16-12-2011 12:25;Dealer;180;259;16-12-2011 12:29
Case608;Missing documents requested;Resource 2;16-12-2011 12:30;Dealer;209;409;16-12-2011 12:33
Case609;Checked;Resource 3;16-12-2011 12:38;Dealer;47;47;16-12-2011 12:39
Case607;Order created;Resource 1;16-12-2011 12:50;Dealer;251;282;16-12-2011 12:52
Case1100;Request signed L2;Resource 6;16-12-2011 12:57;Dealer;262;345;16-12-2011 12:58
Case619;Request signed L2;Resource 6;16-12-2011 12:59;Dealer;281;285;16-12-2011 13:00
Case796;Order sent back;Resource 6;16-12-2011 13:02;Dealer;291;441;16-12-2011 13:02
Case122;Product received;Resource 4;16-12-2011 13:03;Dealer;100;159;16-12-2011 13:03
Case122;Reparishop X - Checking;Resource 4;16-12-2011 13:03;Dealer;113;141;16-12-2011 13:03
Case94;Request signed L2;Resource 6;16-12-2011 13:03;Dealer;99;122;16-12-2011 13:04
Case607;Missing documents requested;Resource 2;16-12-2011 13:05;Dealer;112;114;16-12-2011 13:07
Case386;Product received;Resource 4;16-12-2011 13:10;Dealer;158;202;16-12-2011 13:10
Case386;Reparishop X - Checking;Resource 4;16-12-2011 13:10;Dealer;268;381;16-12-2011 13:10
Case1308;Request signed L2;Resource 6;16-12-2011 13:11;Dealer;172;185;16-12-2011 13:12
Case606;Order created;Resource 1;16-12-2011 13:13;Dealer;189;351;16-12-2011 13:14
Case606;Checked;Resource 3;16-12-2011 13:15;Dealer;285;357;16-12-2011 13:15
Case106;Product received;Resource 4;16-12-2011 13:18;Dealer;3;6;16-12-2011 13:18
Case106;Reparishop X - Checking;Resource 4;16-12-2011 13:19;Dealer;204;296;16-12-2011 13:19
Case1100;Request signed L3;Resource 7;16-12-2011 13:19;Dealer;69;119;16-12-2011 13:19
Case619;Request signed L3;Resource 7;16-12-2011 13:19;Dealer;207;309;16-12-2011 13:19
Case94;Request signed L3;Resource 7;16-12-2011 13:19;Dealer;123;196;16-12-2011 13:19
Case1308;Request signed L3;Resource 7;16-12-2011 13:20;Dealer;108;213;16-12-2011 13:20
Case605;Order created;Resource 1;16-12-2011 13:21;Dealer;121;123;16-12-2011 13:23
Case605;Missing documents requested;Resource 3;16-12-2011 13:25;Dealer;76;84;16-12-2011 13:27
Case604;Order created;Resource 1;16-12-2011 13:28;Dealer;301;343;16-12-2011 13:28
Case603;Order created;Resource 1;16-12-2011 13:29;Dealer;297;356;16-12-2011 13:30
Case603;Missing documents requested;Resource 3;16-12-2011 13:32;Dealer;133;220;16-12-2011 13:32
Case604;Missing documents requested;Resource 2;16-12-2011 13:33;Dealer;240;275;16-12-2011 13:33
Case847;Payment issued;Resource 13;16-12-2011 13:33;Callcenter;293;411;16-12-2011 13:34
Case847;Pick-up prepared;Resource 13;16-12-2011 13:35;Callcenter;164;294;16-12-2011 13:35
Case602;Order created;Resource 1;16-12-2011 13:38;Dealer;181;237;16-12-2011 13:38
Case601;Order created;Resource 1;16-12-2011 13:39;Dealer;188;354;16-12-2011 13:40
Case601;Request signed L1;Resource 2;16-12-2011 13:43;Dealer;148;178;16-12-2011 13:43
Case602;Missing documents requested;Resource 3;16-12-2011 13:43;Dealer;55;108;16-12-2011 13:43
Case615;Request signed L2;Resource 6;16-12-2011 13:44;Dealer;265;425;16-12-2011 13:44
Case710;Product received;Resource 4;16-12-2011 13:45;Dealer;221;233;16-12-2011 13:47
Case485;Product received;Resource 4;16-12-2011 13:53;Dealer;138;271;16-12-2011 13:53
Case485;Reparishop X - Checking;Resource 4;16-12-2011 13:53;Dealer;118;144;16-12-2011 13:53
Case44;Request signed L1;Resource 11;16-12-2011 13:54;Dealer;113;116;16-12-2011 13:54
Case46;Request signed L1;Resource 11;16-12-2011 13:55;Dealer;59;84;16-12-2011 13:56
Case600;Order created;Resource 1;16-12-2011 13:58;Dealer;188;366;16-12-2011 13:58
Case498;Request signed L1;Resource 11;16-12-2011 14:00;Dealer;8;10;16-12-2011 14:00
Case599;Order created;Resource 1;16-12-2011 14:01;Dealer;228;435;16-12-2011 14:01
Case602;Missing documents requested;Resource 3;16-12-2011 14:02;Dealer;280;357;16-12-2011 14:03
Case599;Missing documents requested;Resource 2;16-12-2011 14:04;Dealer;94;179;16-12-2011 14:06
Case645;Product received;Resource 4;16-12-2011 14:07;Dealer;129;231;16-12-2011 14:07
Case645;Reparishop X - Checking;Resource 4;16-12-2011 14:07;Dealer;1;2;16-12-2011 14:08
Case15;Repairshop X - OK;Resource 5;16-12-2011 14:09;Dealer;45;52;16-12-2011 14:10
Case598;Order created;Resource 1;16-12-2011 14:14;Callcenter;23;43;16-12-2011 14:14
Case44;Request signed L2;Resource 6;16-12-2011 14:15;Dealer;159;186;16-12-2011 14:15
Case598;Request signed L1;Resource 2;16-12-2011 14:17;Callcenter;6;11;16-12-2011 14:17
Case600;Request signed L1;Resource 3;16-12-2011 14:17;Dealer;322;339;16-12-2011 14:18
Case46;Request signed L2;Resource 6;16-12-2011 14:24;Dealer;143;145;16-12-2011 14:24
Case595;Order created;Resource 1;16-12-2011 14:25;Dealer;104;176;16-12-2011 14:26
Case594;Order created;Resource 1;16-12-2011 14:27;Dealer;246;414;16-12-2011 14:28
Case595;Missing documents requested;Resource 3;16-12-2011 14:29;Dealer;193;310;16-12-2011 14:29
Case594;Missing documents requested;Resource 2;16-12-2011 14:31;Dealer;11;13;16-12-2011 14:32
Case593;Order created;Resource 1;16-12-2011 14:33;Dealer;61;109;16-12-2011 14:33
Case601;Request signed L2;Resource 6;16-12-2011 14:33;Dealer;216;321;16-12-2011 14:33
Case593;Request rejected L1;Resource 3;16-12-2011 14:38;Dealer;66;80;16-12-2011 14:38
Case593;Order completed;Resource 3;16-12-2011 14:38;Dealer;254;405;16-12-2011 14:38
Case498;Request signed L2;Resource 6;16-12-2011 14:39;Dealer;42;57;16-12-2011 14:39
Case592;Order created;Resource 1;16-12-2011 14:39;Dealer;126;211;16-12-2011 14:39
Case592;Missing documents requested;Resource 2;16-12-2011 14:42;Dealer;76;114;16-12-2011 14:42
Case598;Order sent back;Resource 6;16-12-2011 14:42;Callcenter;148;277;16-12-2011 14:44
Case466;Request signed L1;Resource 3;16-12-2011 14:48;Dealer;158;176;16-12-2011 14:52
Case1253;Missing documents requested;Resource 3;16-12-2011 14:54;Dealer;131;253;16-12-2011 14:54
Case591;Order created;Resource 1;16-12-2011 14:56;Dealer;115;134;16-12-2011 14:56
Case466;Request signed L2;Resource 6;16-12-2011 14:57;Dealer;51;87;16-12-2011 14:57
Case553;Missing documents requested;Resource 3;16-12-2011 14:57;Dealer;98;190;16-12-2011 14:57
Case109;Repairshop X - Rejected;Resource 5;16-12-2011 14:58;Dealer;292;317;16-12-2011 14:58
Case600;Order sent back;Resource 6;16-12-2011 14:59;Dealer;302;468;16-12-2011 14:59
Case590;Order created;Resource 1;16-12-2011 15:02;Dealer;199;293;16-12-2011 15:04
Case591;Missing documents requested;Resource 2;16-12-2011 15:05;Dealer;96;107;16-12-2011 15:07
Case372;Product received;Resource 4;16-12-2011 15:08;Dealer;202;321;16-12-2011 15:08
Case372;Reparishop X - Checking;Resource 4;16-12-2011 15:08;Dealer;21;33;16-12-2011 15:08
Case590;Missing documents requested;Resource 3;16-12-2011 15:14;Dealer;77;103;16-12-2011 15:14
Case1338;Repairshop X - Rejected;Resource 5;16-12-2011 15:17;Dealer;76;127;16-12-2011 15:17
Case532;Request signed L1;Resource 2;16-12-2011 15:28;Dealer;158;283;16-12-2011 15:30
Case737;Pick-up prepared;Resource 2;16-12-2011 15:33;Dealer;165;303;16-12-2011 15:36
Case154;Missing documents requested;Resource 2;16-12-2011 15:38;Dealer;49;75;16-12-2011 15:38
Case532;Order sent back;Resource 6;16-12-2011 15:39;Dealer;243;318;16-12-2011 15:40
Case414;Missing documents requested;Resource 2;16-12-2011 15:42;Dealer;241;408;16-12-2011 15:42
Case497;Product received;Resource 4;16-12-2011 15:43;Dealer;226;395;16-12-2011 15:43
Case497;Reparishop X - Checking;Resource 4;16-12-2011 15:43;Dealer;255;271;16-12-2011 15:44
Case515;Request signed L1;Resource 3;16-12-2011 15:47;Dealer;195;387;16-12-2011 15:47
Case555;Product received;Resource 4;16-12-2011 15:48;Dealer;63;77;16-12-2011 15:48
Case555;Reparishop X - Checking;Resource 4;16-12-2011 15:49;Dealer;169;320;16-12-2011 15:49
Case532;Request signed L1;Resource 3;16-12-2011 15:50;Dealer;264;328;16-12-2011 15:51
Case453;Product received;Resource 12;16-12-2011 15:55;Internet;239;317;16-12-2011 15:55
Case645;Repairshop X - OK;Resource 5;16-12-2011 15:56;Dealer;82;121;16-12-2011 15:56
Case940;Shipment via forwarding company;Resource 3;16-12-2011 15:56;Dealer;46;73;16-12-2011 15:56
Case939;Shipment via forwarding company;Resource 3;16-12-2011 15:57;Internet;168;334;16-12-2011 15:57
Case1237;Request signed L1;Resource 2;16-12-2011 15:59;Internet;109;133;16-12-2011 15:59
Case200;Product received;Resource 12;16-12-2011 16:00;Internet;80;81;16-12-2011 16:00
Case1233;Request rejected L1;Resource 3;16-12-2011 16:01;Dealer;202;388;16-12-2011 16:01
Case1233;Order completed;Resource 3;16-12-2011 16:01;Dealer;248;402;16-12-2011 16:01
Case152;Product received;Resource 12;16-12-2011 16:01;Dealer;214;398;16-12-2011 16:01
Case681;Product received;Resource 12;16-12-2011 16:01;Dealer;75;149;16-12-2011 16:03
Case1214;Product received;Resource 12;16-12-2011 16:04;Callcenter;121;227;16-12-2011 16:04
Case1323;Product received;Resource 4;16-12-2011 16:05;Dealer;204;338;16-12-2011 16:05
Case937;Product received;Resource 12;16-12-2011 16:05;Internet;207;380;16-12-2011 16:05
Case1323;Reparishop X - Checking;Resource 4;16-12-2011 16:06;Dealer;284;318;16-12-2011 16:06
Case501;Request signed L1;Resource 2;16-12-2011 16:06;Internet;136;170;16-12-2011 16:08
Case356;Shipment via logistics partner;Resource 3;16-12-2011 16:09;Internet;165;183;16-12-2011 16:09
Case386;Repairshop X - OK;Resource 5;16-12-2011 16:09;Dealer;327;541;16-12-2011 16:10
Case598;Request signed L1;Resource 2;16-12-2011 16:11;Callcenter;325;390;16-12-2011 16:14
Case1230;Request signed L1;Resource 3;16-12-2011 16:15;Dealer;114;178;16-12-2011 16:20
Case483;Product received;Resource 4;16-12-2011 16:21;Dealer;241;472;16-12-2011 16:24
Case483;Reparishop X - Checking;Resource 4;16-12-2011 16:26;Dealer;320;336;16-12-2011 16:45
Case177;Product ready for scrapping;Resource 11;16-12-2011 16:58;Internet;254;317;16-12-2011 16:58
Case1142;Product ready for scrapping;Resource 11;16-12-2011 16:59;Internet;237;291;16-12-2011 16:59
Case1158;Product ready for scrapping;Resource 11;16-12-2011 16:59;Internet;70;110;16-12-2011 16:59
Case676;Product ready for scrapping;Resource 11;16-12-2011 16:59;Internet;5;7;16-12-2011 16:59
Case692;Product ready for scrapping;Resource 11;16-12-2011 16:59;Internet;221;281;16-12-2011 16:59
Case694;Product ready for scrapping;Resource 11;16-12-2011 16:59;Internet;4;8;16-12-2011 16:59
Case988;Product ready for scrapping;Resource 11;16-12-2011 17:00;Internet;134;196;16-12-2011 17:19
Case601;Request signed L3;Resource 7;16-12-2011 17:31;Dealer;324;558;16-12-2011 17:31
Case44;Request signed L3;Resource 7;16-12-2011 17:34;Dealer;312;544;16-12-2011 17:34
Case46;Request signed L3;Resource 7;16-12-2011 17:34;Dealer;119;235;16-12-2011 17:34
Case466;Request signed L3;Resource 7;16-12-2011 17:34;Dealer;100;155;16-12-2011 17:34
Case498;Request signed L3;Resource 7;16-12-2011 17:34;Dealer;57;58;16-12-2011 17:34
Case615;Request signed L3;Resource 7;16-12-2011 17:34;Dealer;135;164;16-12-2011 18:01
Case501;Request signed L2;Resource 6;16-12-2011 18:10;Internet;267;435;16-12-2011 18:10
Case532;Request signed L2;Resource 6;16-12-2011 18:12;Dealer;6;9;16-12-2011 18:42
Case515;Request signed L2;Resource 6;16-12-2011 19:53;Dealer;231;333;16-12-2011 19:53
Case1237;Order sent back;Resource 6;16-12-2011 19:58;Internet;284;556;16-12-2011 19:58
Case598;Request signed L2;Resource 6;16-12-2011 19:59;Callcenter;183;321;16-12-2011 21:36
Case501;Request signed L3;Resource 7;16-12-2011 23:44;Internet;271;516;16-12-2011 23:44
Case515;Request signed L3;Resource 7;16-12-2011 23:45;Dealer;309;522;16-12-2011 23:45
Case598;Request signed L3;Resource 7;16-12-2011 23:45;Callcenter;170;176;16-12-2011 23:45
Case532;Request signed L3;Resource 7;16-12-2011 23:46;Dealer;225;447;17-12-2011 03:33
Case1036;Request signed L1;Resource 11;19-12-2011 07:35;Callcenter;200;218;19-12-2011 07:35
Case1310;Product received;Resource 4;19-12-2011 07:52;Dealer;88;95;19-12-2011 07:53
Case1310;Reparishop X - Checking;Resource 4;19-12-2011 07:56;Dealer;47;73;19-12-2011 07:59
Case107;Product received;Resource 4;19-12-2011 08:00;Dealer;179;258;19-12-2011 08:00
Case107;Reparishop X - Checking;Resource 4;19-12-2011 08:00;Dealer;93;135;19-12-2011 08:03
Case344;Shipment via forwarding company;Resource 20;19-12-2011 08:05;Callcenter;315;457;19-12-2011 08:05
Case823;Shipment via forwarding company;Resource 20;19-12-2011 08:05;Internet;88;175;19-12-2011 08:05
Case1005;Shipment via forwarding company;Resource 20;19-12-2011 08:06;Internet;145;199;19-12-2011 08:06
Case141;Shipment via forwarding company;Resource 20;19-12-2011 08:06;Callcenter;307;582;19-12-2011 08:10
Case385;Shipment via logistics partner;Resource 2;19-12-2011 08:13;Dealer;165;249;19-12-2011 08:14
Case80;Shipment via forwarding company;Resource 20;19-12-2011 08:16;Internet;187;188;19-12-2011 08:16
Case157;Shipment via forwarding company;Resource 20;19-12-2011 08:18;Dealer;91;113;19-12-2011 08:18
Case158;Shipment via forwarding company;Resource 20;19-12-2011 08:18;Internet;205;342;19-12-2011 08:18
Case232;Shipment via forwarding company;Resource 20;19-12-2011 08:18;Internet;154;159;19-12-2011 08:18
Case265;Shipment via forwarding company;Resource 20;19-12-2011 08:18;Internet;296;511;19-12-2011 08:18
Case266;Shipment via forwarding company;Resource 20;19-12-2011 08:18;Internet;181;265;19-12-2011 08:18
Case1129;Shipment via forwarding company;Resource 20;19-12-2011 08:19;Internet;201;335;19-12-2011 08:19
Case227;Shipment via forwarding company;Resource 20;19-12-2011 08:19;Callcenter;160;164;19-12-2011 08:19
Case663;Shipment via forwarding company;Resource 20;19-12-2011 08:19;Internet;34;48;19-12-2011 08:19
Case1039;Shipment via forwarding company;Resource 20;19-12-2011 08:20;Internet;326;583;19-12-2011 08:23
Case106;Repairshop X - OK;Resource 5;19-12-2011 08:25;Dealer;19;29;19-12-2011 08:26
Case589;Order created;Resource 1;19-12-2011 08:28;Dealer;314;599;19-12-2011 08:32
Case588;Order created;Resource 1;19-12-2011 08:35;Internet;260;466;19-12-2011 08:35
Case1036;Order sent back;Resource 6;19-12-2011 08:37;Callcenter;307;307;19-12-2011 08:38
Case1230;Request signed L2;Resource 6;19-12-2011 08:39;Dealer;47;70;19-12-2011 08:39
Case589;Shipment via logistics partner;Resource 2;19-12-2011 08:39;Dealer;190;322;19-12-2011 08:39
Case588;Missing documents requested;Resource 3;19-12-2011 08:40;Internet;233;400;19-12-2011 08:40
Case372;Repairshop X - OK;Resource 5;19-12-2011 08:42;Dealer;300;321;19-12-2011 08:42
Case587;Order created;Resource 1;19-12-2011 08:44;Dealer;74;116;19-12-2011 08:50
Case587;Shipment via logistics partner;Resource 2;19-12-2011 08:53;Dealer;310;457;19-12-2011 08:53
Case586;Order created;Resource 1;19-12-2011 08:56;Dealer;216;218;19-12-2011 08:56
Case585;Order created;Resource 1;19-12-2011 08:59;Dealer;5;10;19-12-2011 09:00
Case586;Missing documents requested;Resource 3;19-12-2011 09:02;Dealer;146;211;19-12-2011 09:03
Case585;Shipment via logistics partner;Resource 2;19-12-2011 09:06;Dealer;68;68;19-12-2011 09:06
Case584;Order created;Resource 1;19-12-2011 09:10;Dealer;323;548;19-12-2011 09:11
Case583;Order created;Resource 1;19-12-2011 09:13;Dealer;32;57;19-12-2011 09:14
Case584;Missing documents requested;Resource 2;19-12-2011 09:15;Dealer;70;116;19-12-2011 09:15
Case583;Missing documents requested;Resource 3;19-12-2011 09:16;Dealer;325;386;19-12-2011 09:16
Case887;Product received;Resource 4;19-12-2011 09:18;Callcenter;200;275;19-12-2011 09:18
Case582;Order created;Resource 1;19-12-2011 09:19;Dealer;70;126;19-12-2011 09:19
Case709;Product received;Resource 4;19-12-2011 09:20;Dealer;35;38;19-12-2011 09:20
Case190;Product received;Resource 4;19-12-2011 09:24;Callcenter;18;20;19-12-2011 09:24
Case582;Shipment via logistics partner;Resource 2;19-12-2011 09:25;Dealer;83;136;19-12-2011 09:25
Case581;Order created;Resource 1;19-12-2011 09:33;Dealer;234;406;19-12-2011 09:35
Case1036;Request signed L1;Resource 11;19-12-2011 09:36;Callcenter;38;54;19-12-2011 09:37
Case414;Shipment via logistics partner;Resource 2;19-12-2011 09:40;Dealer;321;502;19-12-2011 09:40
Case581;Checked;Resource 3;19-12-2011 09:41;Dealer;259;487;19-12-2011 09:41
Case796;Missing documents requested;Resource 11;19-12-2011 09:41;Dealer;111;207;19-12-2011 09:41
Case580;Order created;Resource 1;19-12-2011 09:44;Dealer;194;336;19-12-2011 09:44
Case1224;Request signed L1;Resource 11;19-12-2011 09:45;Dealer;47;71;19-12-2011 09:45
Case1237;Request signed L1;Resource 11;19-12-2011 09:45;Internet;166;316;19-12-2011 09:45
Case1240;Missing documents requested;Resource 11;19-12-2011 09:46;Dealer;317;372;19-12-2011 09:46
Case412;Repairshop X - OK;Resource 5;19-12-2011 09:47;Dealer;326;353;19-12-2011 09:48
Case580;Shipment via logistics partner;Resource 2;19-12-2011 09:49;Dealer;172;178;19-12-2011 09:52
Case579;Order created;Resource 1;19-12-2011 09:53;Dealer;304;325;19-12-2011 09:54
Case1231;Request signed L1;Resource 3;19-12-2011 09:57;Internet;284;557;19-12-2011 09:57
Case439;Shipment via logistics partner;Resource 11;19-12-2011 09:57;Callcenter;323;369;19-12-2011 09:57
Case92;Pick-up prepared;Resource 11;19-12-2011 10:02;Dealer;323;469;19-12-2011 10:03
Case579;Missing documents requested;Resource 2;19-12-2011 10:05;Dealer;324;396;19-12-2011 10:07
Case578;Order created;Resource 1;19-12-2011 10:08;Dealer;332;575;19-12-2011 10:10
Case578;Request rejected L1;Resource 2;19-12-2011 10:12;Dealer;304;498;19-12-2011 10:12
Case578;Order completed;Resource 2;19-12-2011 10:12;Dealer;269;357;19-12-2011 10:12
Case1226;Request signed L1;Resource 11;19-12-2011 10:13;Dealer;119;227;19-12-2011 10:14
Case572;Request signed L1;Resource 11;19-12-2011 10:15;Dealer;38;56;19-12-2011 10:16
Case696;Request signed L1;Resource 11;19-12-2011 10:17;Internet;19;24;19-12-2011 10:17
Case280;Repairshop X - OK;Resource 5;19-12-2011 10:20;Dealer;261;341;19-12-2011 10:20
Case372;Repairshop X - Rejected;Resource 5;19-12-2011 10:20;Dealer;301;551;19-12-2011 10:20
Case93;Request signed L1;Resource 11;19-12-2011 10:21;Dealer;62;112;19-12-2011 10:24
Case577;Order created;Resource 1;19-12-2011 10:28;Dealer;29;38;19-12-2011 10:32
Case343;Missing documents requested;Resource 3;19-12-2011 10:33;Dealer;187;324;19-12-2011 10:34
Case1230;Order sent back;Resource 7;19-12-2011 10:35;Dealer;144;256;19-12-2011 10:35
Case577;Shipment via logistics partner;Resource 2;19-12-2011 10:35;Dealer;186;341;19-12-2011 10:36
Case1251;Missing documents requested;Resource 11;19-12-2011 10:39;Dealer;235;457;19-12-2011 10:39
Case485;Repairshop X - Rejected;Resource 5;19-12-2011 10:40;Dealer;296;584;19-12-2011 10:42
Case567;Order created;Resource 1;19-12-2011 10:43;Dealer;90;96;19-12-2011 10:43
Case576;Order created;Resource 1;19-12-2011 10:43;Dealer;85;142;19-12-2011 10:46
Case502;Request signed L1;Resource 11;19-12-2011 10:47;Dealer;165;330;19-12-2011 10:48
Case576;Shipment via logistics partner;Resource 2;19-12-2011 10:49;Dealer;96;142;19-12-2011 10:49
Case696;Order sent back;Resource 6;19-12-2011 10:49;Internet;180;278;19-12-2011 10:49
Case1310;Repairshop X - OK;Resource 5;19-12-2011 10:50;Dealer;31;40;19-12-2011 10:50
Case1036;Request signed L2;Resource 6;19-12-2011 10:51;Callcenter;85;95;19-12-2011 10:51
Case566;Order created;Resource 1;19-12-2011 10:53;Dealer;248;321;19-12-2011 10:53
Case573;Missing documents requested;Resource 11;19-12-2011 10:53;Internet;135;196;19-12-2011 10:53
Case567;Missing documents requested;Resource 3;19-12-2011 10:56;Dealer;161;259;19-12-2011 10:57
Case566;Shipment via logistics partner;Resource 2;19-12-2011 10:59;Dealer;1;1;19-12-2011 10:59
Case603;Checked;Resource 11;19-12-2011 11:01;Dealer;263;405;19-12-2011 11:01
Case565;Order created;Resource 1;19-12-2011 11:03;Dealer;138;208;19-12-2011 11:03
Case1036;Request signed L3;Resource 7;19-12-2011 11:04;Callcenter;300;324;19-12-2011 11:04
Case599;Request rejected L1;Resource 11;19-12-2011 11:04;Dealer;281;536;19-12-2011 11:04
Case599;Order completed;Resource 11;19-12-2011 11:04;Dealer;273;519;19-12-2011 11:04
Case565;Missing documents requested;Resource 2;19-12-2011 11:07;Dealer;293;379;19-12-2011 11:07
Case591;Pick-up prepared;Resource 11;19-12-2011 11:08;Dealer;184;310;19-12-2011 11:08
Case93;Request signed L2;Resource 6;19-12-2011 11:08;Dealer;109;174;19-12-2011 11:09
Case502;Order sent back;Resource 6;19-12-2011 11:10;Dealer;330;483;19-12-2011 11:11
Case564;Order created;Resource 1;19-12-2011 11:14;Dealer;36;43;19-12-2011 11:14
Case592;Missing documents requested;Resource 11;19-12-2011 11:15;Dealer;271;375;19-12-2011 11:15
Case607;Request signed L1;Resource 11;19-12-2011 11:17;Dealer;140;228;19-12-2011 11:17
Case1223;Missing documents requested;Resource 11;19-12-2011 11:18;Dealer;88;91;19-12-2011 11:20
Case563;Order created;Resource 1;19-12-2011 11:21;Dealer;46;60;19-12-2011 11:21
Case564;Missing documents requested;Resource 2;19-12-2011 11:21;Dealer;264;361;19-12-2011 11:21
Case969;Missing documents requested;Resource 11;19-12-2011 11:21;Dealer;330;351;19-12-2011 11:21
Case1323;Repairshop X - OK;Resource 5;19-12-2011 11:22;Dealer;96;147;19-12-2011 11:22
Case562;Order created;Resource 1;19-12-2011 11:23;Dealer;312;502;19-12-2011 11:24
Case1051;Shipment via forwarding company;Resource 11;19-12-2011 11:29;Internet;175;228;19-12-2011 11:30
Case1229;Request signed L1;Resource 11;19-12-2011 11:31;Internet;259;308;19-12-2011 11:32
Case1236;Request signed L1;Resource 11;19-12-2011 11:33;Dealer;67;131;19-12-2011 11:34
Case122;Repairshop X - Rejected;Resource 5;19-12-2011 11:35;Dealer;68;127;19-12-2011 11:35
Case604;Missing documents requested;Resource 2;19-12-2011 11:36;Dealer;79;149;19-12-2011 11:36
Case572;Order sent back;Resource 6;19-12-2011 11:44;Dealer;185;248;19-12-2011 11:44
Case1236;Request signed L2;Resource 6;19-12-2011 11:46;Dealer;269;312;19-12-2011 11:47
